player_name,primary_tour,dg_rank,dg_change,dg_index,owgr_rank,owgr_change,dg_points_rank,dg_points_change
"Chappell, Kevin",PGA Tour,335,-37,-0.733,354,-3,null,0
"Siem, Marcel",DP World Tour,336,-3,-0.734,223,-2,null,0
"Frittelli, Dylan",DP World Tour,337,-3,-0.734,287,-5,null,0
"Dou, Zecheng",Korn Ferry Tour,338,-3,-0.735,499,-12,null,0
"Gordon, Will",PGA Tour,339,-2,-0.746,349,-4,null,0
"Winstead, Trey",Korn Ferry Tour,340,-8,-0.756,321,-3,null,0
"NeSmith, Matt",PGA Tour,341,22,-0.76,310,-3,null,0
"Morrison, Tommy",Amateur Events,342,-6,-0.761,null,0,null,0
"Wolff, Matthew",LIV Golf,343,-22,-0.762,null,0,null,0
"Norrman, Vincent",PGA Tour,344,0,-0.774,280,-11,null,0
"Kaneko, Kota",Other Tours,345,1,-0.778,392,6,null,0
"Schniederjans, Ollie",Korn Ferry Tour,346,1,-0.779,272,1,null,0
"Sherwood, Cole",Korn Ferry Tour,347,83,-0.779,356,138,null,0
"Russell, Miles",Amateur Events,348,16,-0.782,null,0,null,0
"Gomez, Fabian",Korn Ferry Tour,349,1,-0.783,477,-2,null,0
"Wu, Brandon",PGA Tour,350,-2,-0.785,362,-7,null,0
"Weiler, Joe",Korn Ferry Tour,351,25,-0.786,378,3,null,0
"Tuten, Shad",Korn Ferry Tour,352,51,-0.791,484,0,null,0
"Vogel, T.J.",Korn Ferry Tour,353,-15,-0.794,null,0,null,0
"Semikawa, Taiga",Other Tours,354,-3,-0.795,322,-6,null,0
"Halvorsen, Andreas",Challenge Tour,355,-2,-0.801,361,-3,null,0
"Nunez, Augusto",Korn Ferry Tour,356,38,-0.804,null,0,null,0
"Jarvis, Casey",DP World Tour,357,-2,-0.805,316,-7,null,0
"Taylor, Ben",PGA Tour,358,28,-0.805,null,0,null,0
"Paul, Yannik",DP World Tour,359,-3,-0.805,238,-2,null,0
"Dickson, Taylor",Korn Ferry Tour,360,-37,-0.808,209,5,null,0
"Whitney, Tom",Korn Ferry Tour,361,18,-0.808,468,-2,null,0
"Nienaber, Wilco",DP World Tour,362,-2,-0.811,309,-6,null,0
"Vaillant, Tom",DP World Tour,363,-2,-0.814,348,-4,null,0
"Cone, Trevor",Korn Ferry Tour,364,-7,-0.814,393,-11,null,0
"Hidalgo, Angel",DP World Tour,365,-3,-0.816,203,-3,null,0
"Hebert, Benjamin",DP World Tour,366,-1,-0.818,391,-1,null,0
"Olesen, Jacob Skov",DP World Tour,367,-1,-0.819,null,0,null,0
